source,titre,date,url
wikipedia.fr,Intelligence artificielle,2024-03-15,https://fr.wikipedia.org/wiki/Intelligence_artificielle
wikipedia.fr,Apprentissage automatique,2024-02-28,https://fr.wikipedia.org/wiki/Apprentissage_automatique
wikipedia.fr,Réseau de neurones artificiels,2024-01-10,https://fr.wikipedia.org/wiki/R%C3%A9seau_de_neurones_artificiels
wikipedia.fr,Traitement automatique du langage naturel,2023-11-05,https://fr.wikipedia.org/wiki/Traitement_automatique_du_langage_naturel
wikipedia.fr,Vision par ordinateur,2024-03-01,https://fr.wikipedia.org/wiki/Vision_par_ordinateur
wikipedia.fr,Apprentissage profond,2024-02-14,https://fr.wikipedia.org/wiki/Apprentissage_profond
wikipedia.fr,Algorithme,15/01/2024,https://fr.wikipedia.org/wiki/Algorithme
wikipedia.fr,Base de données,2023-09-20,https://fr.wikipedia.org/wiki/Base_de_donn%C3%A9es
wikipedia.fr,Données ouvertes,,https://fr.wikipedia.org/wiki/Donn%C3%A9es_ouvertes
wikipedia.fr,Éthique de l'intelligence artificielle,2024-03-10,https://fr.wikipedia.org/wiki/%C3%89thique_de_l%27intelligence_artificielle
wikipedia.fr,Apprentissage automatique,2024-02-28,https://fr.wikipedia.org/wiki/Apprentissage_automatique
wikipedia.fr,Reconnaissance faciale,2023-12-18,https://fr.wikipedia.org/wiki/Reconnaissance_faciale
wikipedia.fr,Traitement du langage naturel,2024-01-22,https://fr.wikipedia.org/wiki/Traitement_du_langage_naturel
wikipedia.fr,,2024-02-05,https://fr.wikipedia.org/wiki/Robot_logiciel
wikipedia.fr,Informatique décisionnelle,2023-10-30,https://fr.wikipedia.org/wiki/Informatique_d%C3%A9cisionnelle
wikipedia.fr,Science des données,2024-03-05,https://fr.wikipedia.org/wiki/Science_des_donn%C3%A9es
wikipedia.fr,Big data,31-12-2023,https://fr.wikipedia.org/wiki/Big_data
wikipedia.fr,Apprentissage par renforcement,2024-01-15,https://fr.wikipedia.org/wiki/Apprentissage_par_renforcement
wikipedia.fr,Modèle de langage,2024-03-20,https://fr.wikipedia.org/wiki/Mod%C3%A8le_de_langage
wikipedia.fr,Biais algorithmique,2023-08-14,https://fr.wikipedia.org/wiki/Biais_algorithmique
wikipedia.fr,Explicabilité de l'intelligence artificielle,2024-02-01,https://fr.wikipedia.org/wiki/Explicabilit%C3%A9_de_l%27intelligence_artificielle
wikipedia.fr,Données personnelles,2024-01-08,https://fr.wikipedia.org/wiki/Donn%C3%A9es_personnelles
wikipedia.fr,RGPD,,https://fr.wikipedia.org/wiki/R%C3%A8glement_g%C3%A9n%C3%A9ral_sur_la_protection_des_donn%C3%A9es
wikipedia.fr,Fouille de données,2023-07-19,https://fr.wikipedia.org/wiki/Fouille_de_donn%C3%A9es
wikipedia.fr,Automatisation,2024-03-12,https://fr.wikipedia.org/wiki/Automatisation
wikipedia.fr,Science des données,2024-03-05,https://fr.wikipedia.org/wiki/Science_des_donn%C3%A9es
wikipedia.fr,Apprentissage automatique,2024-02-28,https://fr.wikipedia.org/wiki/Apprentissage_automatique
wikipedia.fr,IA générative,2024-03-25,https://fr.wikipedia.org/wiki/Intelligence_artificielle_g%C3%A9n%C3%A9rative
wikipedia.fr,Système expert,2023-06-11,ftp://fr.wikipedia.org/wiki/Syst%C3%A8me_expert
wikipedia.fr,Ontologie (informatique),2024-01-30,https://fr.wikipedia.org/wiki/Ontologie_(informatique)
